table_name,field_name
roles,id
roles,created_by
roles,created_at
roles,created_ip
roles,updated_by
roles,updated_at
roles,updated_ip
roles,is_deleted
roles,is_active
roles,name
roles,description
permissions,id
permissions,created_by
permissions,created_at
permissions,created_ip
permissions,updated_by
permissions,updated_at
permissions,updated_ip
permissions,is_deleted
permissions,is_active
permissions,code
permissions,description
role_permissions,id
role_permissions,created_by
role_permissions,created_at
role_permissions,created_ip
role_permissions,updated_by
role_permissions,updated_at
role_permissions,updated_ip
role_permissions,is_deleted
role_permissions,is_active
role_permissions,role_id
role_permissions,permission_id
users,id
users,created_by
users,created_at
users,created_ip
users,updated_by
users,updated_at
users,updated_ip
users,is_deleted
users,is_active
users,role_id
users,full_name
users,mobile_number
users,email
users,password_hash
therapeutic_categories,id
therapeutic_categories,created_by
therapeutic_categories,created_at
therapeutic_categories,created_ip
therapeutic_categories,updated_by
therapeutic_categories,updated_at
therapeutic_categories,updated_ip
therapeutic_categories,is_deleted
therapeutic_categories,is_active
therapeutic_categories,name
therapeutic_categories,description
medicines,id
medicines,created_by
medicines,created_at
medicines,created_ip
medicines,updated_by
medicines,updated_at
medicines,updated_ip
medicines,is_deleted
medicines,is_active
medicines,name
medicines,dosage_form
medicines,therapeutic_category_id
medicines,is_prescription_required
medicines,is_controlled
medicines,schedule_type
medicines,description
medicines,is_available
medicine_brands,id
medicine_brands,created_by
medicine_brands,created_at
medicine_brands,created_ip
medicine_brands,updated_by
medicine_brands,updated_at
medicine_brands,updated_ip
medicine_brands,is_deleted
medicine_brands,is_active
medicine_brands,medicine_id
medicine_brands,brand_name
medicine_brands,manufacturer
medicine_brands,mrp
medicine_brands,description
medicine_brands,is_available
orders,id
orders,created_by
orders,created_at
orders,created_ip
orders,updated_by
orders,updated_at
orders,updated_ip
orders,is_deleted
orders,order_reference
orders,customer_id
orders,customer_name
orders,customer_phone
orders,customer_email
orders,delivery_address
orders,pincode
orders,city
orders,order_source
orders,order_status
orders,approval_status
orders,total_amount
orders,discount_amount
orders,delivery_fee
orders,final_amount
orders,payment_method
orders,payment_completed_at
orders,processed_by
orders,notes
payments,id
payments,created_by
payments,created_at
payments,created_ip
payments,updated_by
payments,updated_at
payments,updated_ip
payments,is_deleted
payments,order_id
payments,payment_method
payments,payment_status
payments,amount
payments,merchant_transaction_id
payments,gateway_transaction_id
payments,gateway_order_id
payments,gateway_response
payments,payment_date
payments,refund_status
payments,refund_amount
payments,refund_transaction_id
doctors,id
doctors,created_by
doctors,created_at
doctors,created_ip
doctors,updated_by
doctors,updated_at
doctors,updated_ip
doctors,is_deleted
doctors,is_active
doctors,name
doctors,specialty
doctors,qualifications
doctors,morning_timings
doctors,evening_timings
doctors,image_url
doctors,consultation_fee
appointments,id
appointments,created_by
appointments,created_at
appointments,created_ip
appointments,updated_by
appointments,updated_at
appointments,updated_ip
appointments,is_deleted
appointments,doctor_id
appointments,patient_name
appointments,patient_phone
appointments,appointment_date
appointments,appointment_time
appointments,status
appointments,message
appointments,notes
polyclinic_tests,id
polyclinic_tests,created_by
polyclinic_tests,created_at
polyclinic_tests,created_ip
polyclinic_tests,updated_by
polyclinic_tests,updated_at
polyclinic_tests,updated_ip
polyclinic_tests,is_deleted
polyclinic_tests,is_active
polyclinic_tests,name
polyclinic_tests,description
polyclinic_tests,price
polyclinic_tests,duration
polyclinic_tests,fasting_required
polyclinic_tests,icon_name
test_bookings,id
test_bookings,created_by
test_bookings,created_at
test_bookings,created_ip
test_bookings,updated_by
test_bookings,updated_at
test_bookings,updated_ip
test_bookings,is_deleted
test_bookings,test_id
test_bookings,patient_name
test_bookings,patient_phone
test_bookings,booking_date
test_bookings,booking_time
test_bookings,status
test_bookings,notes
coupons,id
coupons,created_by
coupons,created_at
coupons,created_ip
coupons,updated_by
coupons,updated_at
coupons,updated_ip
coupons,is_deleted
coupons,is_active
coupons,code
coupons,discount_percentage
coupons,expiry_date
coupons,min_order_amount
coupons,max_discount_amount
coupons,usage_limit
coupons,usage_count
coupons,first_order_only
coupon_usages,id
coupon_usages,created_by
coupon_usages,created_at
coupon_usages,created_ip
coupon_usages,updated_by
coupon_usages,updated_at
coupon_usages,updated_ip
coupon_usages,is_deleted
coupon_usages,coupon_id
coupon_usages,order_id
coupon_usages,customer_id
coupon_usages,discount_amount
coupon_usages,coupon_code
coupon_usages,customer_name
coupon_usages,customer_phone
coupon_usages,order_final_amount
delivery_settings,id
delivery_settings,created_by
delivery_settings,created_at
delivery_settings,created_ip
delivery_settings,updated_by
delivery_settings,updated_at
delivery_settings,updated_ip
delivery_settings,is_deleted
delivery_settings,is_active
delivery_settings,is_enabled
delivery_settings,min_order_amount
delivery_settings,delivery_fee
delivery_settings,free_delivery_threshold
delivery_settings,delivery_zones
delivery_settings,show_marquee
delivery_settings,delivery_slot_times
order_items,id
order_items,created_by
order_items,created_at
order_items,created_ip
order_items,updated_by
order_items,updated_at
order_items,updated_ip
order_items,is_deleted
order_items,order_id
order_items,medicine_brand_id
order_items,medicine_name
order_items,brand_name
order_items,quantity
order_items,unit_price
order_items,total_price
order_items,requires_prescription
addresses,id
addresses,created_by
addresses,created_at
addresses,created_ip
addresses,updated_by
addresses,updated_at
addresses,updated_ip
addresses,is_deleted
addresses,is_active
addresses,user_id
addresses,label
addresses,street
addresses,city
addresses,state
addresses,pincode
addresses,country
addresses,is_default
